id,time,file,behaviour,type,family,stage,comment
6,536.77,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID6/CV_T1_ID6(1).MP4,intruder,Conspecific,Damselfish,Juvenile,
6,657.29,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID6/CV_T1_ID6(1).MP4,intruder,Heterospecific,Damselfish,Juvenile,
6,1182.751,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID6/CV_T1_ID6(2).MP4,intruder,Conspecific,Damselfish,Juvenile,
6,578.711,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID6/CV_T1_ID6(1).MP4,intruder,Heterospecific,Grouper,Adult,
6,751.587,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID6/CV_T1_ID6(2).MP4,intruder,Heterospecific,Grouper,Adult,
6,1110.879,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID6/CV_T1_ID6(2).MP4,intruder,Heterospecific,Jack,Adult,
6,307.34,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID6/CV_T1_ID6(1).MP4,aggression,Heterospecific,Parrotfish,Juvenile,
6,697.964,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID6/CV_T1_ID6(1).MP4,aggression,Heterospecific,Parrotfish,Juvenile,
6,771.274,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID6/CV_T1_ID6(2).MP4,aggression,Heterospecific,Parrotfish,Juvenile,
6,934.97,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID6/CV_T1_ID6(2).MP4,aggression,Heterospecific,Parrotfish,Juvenile,
6,1025.06,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID6/CV_T1_ID6(2).MP4,aggression,Heterospecific,Parrotfish,Juvenile,
